2016-07-11,14:59:56,A,S,2257.1581,W,04310.2508,00.0,---.-,V,--.-,---.-,---.-,L03.1,+02.7,---.-
2016-07-11,14:59:58,A,S,2257.1581,W,04310.2508,00.0,---.-,V,--.-,---.-,---.-,L03.7,-00.6,---.-
2016-07-11,15:00:00,A,S,2257.1581,W,04310.2508,00.0,---.-,V,07.2,035.6,---.-,L03.4,+01.7,---.-
2016-07-11,15:00:02,A,S,2257.1581,W,04310.2508,00.0,---.-,V,07.3,035.4,---.-,L03.2,+02.4,---.-
2016-07-11,15:00:04,A,S,2257.1581,W,04310.2508,00.0,---.-,A,07.4,035.9,---.-,L03.6,+01.3,---.-
2016-07-11,15:00:06,A,S,2257.1581,W,04310.2508,00.0,---.-,A,07.4,037.0,---.-,L03.5,+01.3,---.-
2016-07-11,15:00:08,A,S,2257.1581,W,04310.2508,00.0,---.-,A,07.2,037.9,---.-,L03.6,-00.9,---.-
2016-07-11,15:00:10,A,S,2257.1581,W,04310.2509,00.0,269.9,A,06.9,040.2,130.2,L03.6,+01.0,-00.0
2016-07-11,15:00:12,A,S,2257.1580,W,04310.2511,00.0,289.8,A,06.8,043.8,113.9,L03.3,+02.0,-00.0
2016-07-11,15:00:14,A,S,2257.1580,W,04310.2511,00.0,289.8,A,06.9,046.8,116.9,L03.2,+02.7,-00.0
2016-07-11,15:00:16,A,S,2257.1580,W,04310.2511,00.0,289.8,A,07.2,048.6,118.7,L03.3,+02.1,-00.0
2016-07-11,15:00:18,A,S,2257.1580,W,04310.2511,00.0,289.8,A,07.4,050.1,120.2,L03.6,+01.0,-00.0
2016-07-11,15:00:20,A,S,2257.1580,W,04310.2511,00.0,298.4,A,07.5,050.9,112.4,L03.3,+02.2,-00.0
2016-07-11,15:00:22,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.2,050.2,---.-,L03.3,+02.2,---.-
2016-07-11,15:00:24,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.1,049.1,---.-,L03.8,+04.0,---.-
2016-07-11,15:00:26,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.2,048.6,---.-,L03.5,+01.3,---.-
2016-07-11,15:00:28,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.6,048.3,---.-,L03.4,+01.9,---.-
2016-07-11,15:00:30,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.8,047.2,---.-,L03.2,+03.4,---.-
2016-07-11,15:00:32,A,S,2257.1580,W,04310.2511,00.0,---.-,A,08.1,046.6,---.-,L03.5,+01.3,---.-
2016-07-11,15:00:34,A,S,2257.1580,W,04310.2511,00.0,---.-,A,08.3,047.2,---.-,L03.5,+01.3,---.-
2016-07-11,15:00:36,A,S,2257.1580,W,04310.2511,00.0,---.-,A,08.1,048.0,---.-,L03.6,+01.0,---.-
2016-07-11,15:00:38,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.8,048.5,---.-,L03.3,+01.8,---.-
2016-07-11,15:00:40,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.7,047.9,---.-,L03.2,+03.6,---.-
2016-07-11,15:00:42,A,S,2257.1580,W,04310.2511,00.0,---.-,A,07.9,047.3,---.-,L03.4,+01.9,---.-
